mssv,diem_tt,OTHER,THPT,ĐGNL,hedt_CLC,hedt_CNTN,hedt_CQUI,hedt_CTTT,hedt_KSTN,chuyennganh2_7340122_CLC,chuyennganh2_7340122_CQ,chuyennganh2_7480101_CLC,chuyennganh2_7480101_CQ,chuyennganh2_7480101_CTTN,chuyennganh2_7480102_CLC,chuyennganh2_7480102_CQ,chuyennganh2_7480103_CLC,chuyennganh2_7480103_CQ,chuyennganh2_7480104_CLC,chuyennganh2_7480104_CQ,chuyennganh2_7480104_CTTT,chuyennganh2_7480106_CLC,chuyennganh2_7480106_CQ,chuyennganh2_7480109_CQ,chuyennganh2_7480201_CLC,chuyennganh2_7480201_CQ,chuyennganh2_7480202_CLC,chuyennganh2_7480202_CQ,chuyennganh2_7480202_CTTN,sem1,sem2,sem3,sem4,sem5,sem6,sem7,sem8,sem9,sem10,term 1,term 2,term 3,term 4,term 5,term 6,term 7,label
0,0.7491564018764959,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5174051897715882,0.1116460701901165,0.5744227443621288,0.5859474337471162,0.63427288091201,-0.9974889628553448,0.6115048070222706,0.6097457613925117,-0.9762132642012806,0.4368652381336587,0.8543651643219965,0.815347893994685,0.700390155096732,0.8006025307943353,0.8048159394497462,0.8264835467559593,0.6463139870778988,3
0,0.7197939293215466,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5593136153124961,0.5520653021034243,-0.9767099549699696,0.7104426491981755,0.5833019688502623,-1.0386867897167875,0.711420529489754,0.6103029557765449,0.3896502284495889,0.5120007301837889,0.8191561682115757,0.7837518020263927,0.7835470824394274,0.8108564423305977,0.9167211926593036,0.8251816944451502,0.7769880929471392,3
0,0.8897506660860939,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5372178249549996,0.4755869399930471,0.5312055777575684,0.4671899628408814,0.4401468959999171,-1.0246359746940512,0.414313663562595,0.2827428869536323,0.396494071065737,0.2757001442853866,0.6977432480302517,0.6135895130357008,0.7127062952413582,0.3787475297481629,0.6444959112306622,-0.0135773232056327,0.5495328099151255,3
0,0.8256505375027426,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.6534264531399596,0.345043822857033,-1.0001657479298227,0.1238670967039498,0.4769842202717685,0.3144219603569382,0.1641366404404429,-0.0365029419054386,-0.9724380348102506,0.2360009120118952,0.9646463959877674,0.9601639295818346,0.7947599117628271,0.7058898874557434,0.6758503932841408,0.6573604687592743,0.0464893055254886,4
0,0.7764186928036518,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5159311818004759,0.2137646063065456,-1.081779882438402,0.4816657776367353,0.4761613139057964,0.5151615977274163,0.2618694032982884,0.4256596291888307,-1.0793033647525847,0.3461941770539011,0.7839792884120111,0.7021373549124438,0.6154201542954691,0.6857530287914464,0.7381808338760522,0.7739375161693373,0.7538747405799384,4
0,0.7110526422115652,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.4305915448666578,0.5062312127843369,-0.9618079230372718,0.5626416794244108,0.3748757141779739,0.4376322669225352,0.580062128308628,0.5572400433295343,0.4060838844807048,0.4659374968684497,0.75658354706224,0.7461419067341508,0.5304202303267239,0.8463021847987152,0.6757245479392413,0.7414485541500259,0.6144847138308388,3
0,0.8275943799384053,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.504220960899662,0.3435804667981893,0.218475294010047,0.3701968264962394,0.4313886595494271,-1.004235049390234,0.4125087573220268,0.5559394621582685,-1.0232374288311004,0.4104284211073424,0.9429537666991572,0.9396937590376288,0.7307135167883965,0.6592501475317273,0.6998477766350548,0.7565311586600483,0.7281319112303964,4
0,0.7778281805517799,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5615640575698783,0.2140190793423021,0.4769143697131803,0.483897648703242,0.4627649720638267,0.3796429667826255,0.4286281927063768,0.3217125640184353,0.2982844625519218,-0.0161303248455435,0.8597745959246929,0.639823367584724,0.7589462362838165,0.703304818884638,0.7981895853053509,0.6572448771300089,0.2207747490214379,4
0,0.909923134490488,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.2987989033642263,0.0232507120726819,0.6973872944007079,0.4485046884049622,0.1972709567752449,0.456021475961985,0.3075722662783095,0.3892653466926177,0.3369071119200012,0.3504347200062072,0.6246150997732816,0.7041921693761479,0.6239252489677294,0.5556107907768313,0.6476720181429532,0.6887775693086712,0.6262250603688359,3
0,0.9379909780926168,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5061677141765036,0.52221512342071,0.573696013355316,0.6851853116740689,0.5370339938740601,-1.014603315995608,0.3537279020307946,0.4789022299105642,0.5316727653045229,0.4482549283795255,0.6210271935435892,0.5807442361825853,0.649731396992944,0.4613777424771009,0.5357878271267836,0.1784020283162793,0.2596730487453027,4
