mssv,sem1,sem2,sem3,sem4,sem5,sem6,sem7,sem8,sem9,sem10,sem11,sem12,sem13,sem14,sem15,sem16,sem17,sem18,sem19,sem20,sem21,sem22,term 1,term 2,term 3,term 4,term 5,term 6,term 7,term 8,term 9,term 10,term 11,term 12,term 13,term 14,term 15,term 16
0085722BXPvAibaEXe/baq/wvVlH/v1E0JmnRemC,0.599,0.563,-1.0,0.47300000000000003,0.599,-1.0,0.648,0.754,-1.0,0.577,0.645,-1.0,0.737,0.58,-1.0,0.37,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.8,0.9,0.76,0.78,0.8,0.79,0.81,0.72,0.79,0.7,0.475,-1.0,-1.0,-1.0,-1.0,-1.0
008C7E44XPvAibaEXe80NXGyYVtTlnHRV1DTnuqi,0.763,0.8019999999999999,-1.0,0.775,0.837,-1.0,0.596,0.721,-1.0,0.627,0.8400000000000001,-1.0,0.772,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.68,0.86,0.8,0.8,0.75,0.75,0.72,0.81,0.86,0.58,0.475,0.7662337662337663,-1.0,-1.0,-1.0,-1.0
00A65C83XPvAibaEXe+BUGeEgVnB4GtsCU49A5+8,0.722,0.529,-1.0,0.667,0.596,0.35,0.772,0.734,-1.0,0.625,0.604,0.8,0.8400000000000001,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.64,0.56,0.52,0.82,0.9,0.86,0.75,0.73,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00A6F5DAXPvAibaEXe/zT99h3DDtvT/brt/zZ/RZ,0.354,0.45999999999999996,-1.0,0.604,0.579,0.0,0.673,0.762,-1.0,0.728,0.523,-1.0,0.595,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.85,0.8,1.0,0.7,0.96,0.84,0.84,0.6,0.67,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00ACD5A5XPvAibaEXe+pDN88/1DR4LBrQbT3YaE1,0.618,0.546,0.49000000000000005,0.567,0.48600000000000004,-1.0,0.585,0.671,-1.0,0.378,0.505,0.0,0.40800000000000003,0.221,-1.0,0.161,0.476,-1.0,0.3,0.42699999999999994,-1.0,0.056999999999999995,0.56,0.56,0.51,0.55,0.5,0.61,0.65,0.63,0.68,0.6,0.625,0.6103896103896104,0.1111111111111111,0.43333333333333335,-1.0,-1.0
00AD2952XPvAibaEXe/45+b0LBlJ7GBrgcGKBM3K,0.581,0.596,0.85,0.722,0.608,-1.0,0.693,0.6599999999999999,-1.0,0.647,0.646,-1.0,0.6639999999999999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.8,0.7,0.68,0.76,0.8,0.75,0.7,0.83,0.56,0.5,0.4125,-1.0,-1.0,-1.0,-1.0,-1.0
00BCE333XPvAibaEXe9upvU5DvuC9h+K5WaA2XCn,0.5860000000000001,-1.0,-1.0,0.553,0.624,0.64,0.587,0.6940000000000001,0.43,0.701,0.753,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.61,0.57,0.57,0.6,0.6,0.88,0.7,0.68,0.7,0.65,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00BEC077XPvAibaEXe9+dT4FRTt+Q2alofVR9t4x,0.8029999999999999,0.617,-1.0,0.665,0.717,-1.0,0.658,0.606,-1.0,0.675,0.393,-1.0,0.788,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.75,0.54,0.52,0.67,0.76,0.8,0.8,0.7,0.62,0.5,0.4125,0.45454545454545453,-1.0,-1.0,-1.0,-1.0
00BF5175XPvAibaEXe+Em+qhkpGqwOeIgsMQfSaq,0.7230000000000001,0.692,-1.0,0.562,0.6990000000000001,-1.0,0.43499999999999994,0.734,-1.0,0.762,0.791,-1.0,0.761,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.8,0.8,0.79,0.81,0.76,0.91,0.84,0.74,0.71,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00C1823FXPvAibaEXe92T150Nt0xZm0PNPjZ334J,0.562,0.7070000000000001,-1.0,0.791,0.825,-1.0,0.859,0.541,-1.0,0.792,-1.0,-1.0,0.8800000000000001,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.85,0.8,0.9,0.9,1.0,1.0,0.94,0.75,0.83,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00CFFDDFXPvAibaEXe9PaZSVcf3BgqtWEBh0HDBi,0.549,0.43,-1.0,0.229,0.645,-1.0,0.362,0.5269999999999999,-1.0,0.303,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9,0.75,0.81,0.82,0.76,0.69,0.66,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00D42116XPvAibaEXe8IGiiWauHvTNlYh1/nN8rw,0.666,0.595,-1.0,0.6910000000000001,0.729,-1.0,0.79,0.768,-1.0,0.807,0.8300000000000001,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.78,0.75,0.76,0.75,0.79,0.74,0.76,0.76,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00DC581CXPvAibaEXe9KG2OR8ZVK3umWFpCcHAl6,0.48200000000000004,0.389,-1.0,0.557,0.49800000000000005,0.36,0.583,0.591,0.61,0.708,0.6910000000000001,0.6599999999999999,0.726,0.36,-1.0,0.6799999999999999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.32,0.69,0.43,0.35,0.67,0.78,0.8,0.85,0.7,0.5,0.475,-1.0,-1.0,-1.0,-1.0,-1.0
00E4A623XPvAibaEXe8qgRlcblbl2vnFrpB96HIM,0.589,0.606,0.76,0.648,0.654,-1.0,0.605,0.764,-1.0,0.828,0.909,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.8,0.8,0.76,0.8,0.7,0.84,0.86,1.0,0.86,0.82,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
011201F7XPvAibaEXe+OhmjSj4XEzZe7iRZlaaxm,0.686,0.601,-1.0,0.6839999999999999,0.771,-1.0,0.554,0.755,-1.0,0.858,0.653,-1.0,0.675,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.7,0.9,0.9,0.85,0.81,0.85,0.95,1.0,0.74,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0113B184XPvAibaEXe+TFgEDwYNnvZZmdVYGpoeH,0.5730000000000001,0.42400000000000004,-1.0,0.714,0.648,-1.0,0.73,0.6799999999999999,-1.0,0.654,0.686,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.82,0.78,0.78,0.93,0.93,0.63,0.63,0.81,0.64,0.75,0.575,-1.0,-1.0,-1.0,-1.0,-1.0
011E3613XPvAibaEXe8B6jbWYL2ytDqlxqdI7VkC,0.732,0.779,-1.0,0.659,0.507,-1.0,0.844,0.6940000000000001,-1.0,0.763,0.5740000000000001,-1.0,0.7110000000000001,0.89,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.8,0.75,0.68,0.67,0.77,0.72,0.79,0.7,0.79,0.74,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
01254D12XPvAibaEXe8yzZ/8QUtgdgO7k755LUHF,0.623,0.618,-1.0,0.504,0.64,0.786,0.5940000000000001,0.489,-1.0,0.633,0.729,-1.0,0.653,0.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,0.97,0.97,0.81,0.86,0.62,0.68,0.8,0.75,0.6,0.8311688311688312,0.1111111111111111,0.16666666666666666,0.1,-1.0
012B2267XPvAibaEXe92T150Nt0xZhRfmxS1FqFL,0.576,0.575,-1.0,0.387,0.633,-1.0,0.758,0.8099999999999999,-1.0,0.826,0.6679999999999999,-1.0,0.62,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.77,0.67,0.58,0.69,0.88,0.91,1.0,0.9,0.64,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
01339FADXPvAibaEXe/a3PM8AP2Ng0uXDZOGMC2W,0.874,0.767,-1.0,0.6990000000000001,0.619,-1.0,0.564,0.65,-1.0,0.484,0.755,-1.0,0.635,-1.0,-1.0,0.725,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.7,0.7,0.83,0.75,0.66,0.55,0.57,0.61,0.42,0.65,0.625,0.5584415584415584,0.1111111111111111,0.26666666666666666,-1.0,-1.0
013DFC27XPvAibaEXe9KWpGOh3zHlxPSiJ5QTA8b,0.585,0.0,0.133,0.433,0.196,0.493,0.301,0.155,-1.0,0.159,0.014000000000000002,-1.0,0.41100000000000003,0.16,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.81,0.49,0.57,0.55,0.59,0.68,0.6,0.55,0.5,0.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
014AB13EXPvAibaEXe8B6jbWYL2ytNvhs0daeuVk,0.795,0.8300000000000001,-1.0,0.805,0.834,-1.0,0.825,0.8320000000000001,-1.0,0.826,0.908,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.8,0.8,0.85,0.95,1.0,1.0,1.0,1.0,0.91,0.92,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0152D73FXPvAibaEXe8dBqMaN7rGhiSNefyOeUyN,0.787,0.567,-1.0,0.8029999999999999,0.7150000000000001,-1.0,0.678,0.7230000000000001,-1.0,0.9099999999999999,0.8630000000000001,-1.0,0.8400000000000001,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.61,0.75,0.86,0.9,0.86,0.85,1.0,1.0,0.93,0.58,0.475,0.5584415584415584,0.1111111111111111,-1.0,-1.0,-1.0
